ecoevo_names,carnegie_names,checked
SUNY Brockport,SUNY College at Brockport,Y
SUNY ESF,SUNY College of Environmental Science and Forestry,Y
SUNY Geneseo,SUNY College at Geneseo,Y
SUNY New Paltz,NA,Y
SUNY Oswego,SUNY College at Oswego,Y
SUNY Plattsburgh,SUNY College at Plattsburgh,Y
Texas A&M AgriLife Research & Extension - San Angelo,NA,Y
Texas A&M University,Texas A & M University-College Station,Y
Texas A&M University–Kingsville,Texas A & M University-Kingsville,Y
Texas A&M University - Corpus Christi,Texas A & M University-Corpus Christi,Y
Texas A&M University at Galveston,NA,Y
The Citadel,NA,Y
The Nature Conservancy,NA,Y
The Ohio State University,Ohio State University-Main Campus,Y
The University of Texas at Austin Marine Science Institute,The University of Texas at Austin,Y
The Water Institute of the Gulf,NA,Y
Tufts Unviersity,Tufts University,Y
Tusculum University,Tusculum College,Y
"U.S. Department of Energy, Office of Science",NA,Y
UC Berkeley,University of California-Berkeley,Y
UC Davis,University of California-Davis,Y
UCLA,University of California-Los Angeles,Y
UCSB,University of California-Santa Barbara,Y
UMass Amherst,University of Massachusetts-Amherst,Y
UNC Pembroke,University of North Carolina at Pembroke,Y
United States Department of Agriculture,NA,Y
University at Albany,NA,Y
University of Akron,University of Akron Main Campus,Y
University of Alaska Kenai Peninsula,NA,Y
"University of Calfornia, San Diego",University of California-San Diego,Y
University of Chicago & MBL,University of Chicago,Y
University of Cincinnati Blue Ash,NA,Y
University of Florida- WFREC,NA,Y
University of Georgia Marine Institute,NA,Y
University of Hawai‘i at Manoa (UHM),University of Hawaii at Manoa,Y
University of Indiana Bloomington,Indiana University-Bloomington,Y
University of Maryland,University of Maryland-College Park,Y
University of Michigan,University of Michigan-Ann Arbor,Y
University of Michigan / CIGLR,University of Michigan-Ann Arbor,Y
University of Minnesota,University of Minnesota-Twin Cities,Y
University of Minnesota (Twin Cities),University of Minnesota-Twin Cities,Y
University of MIssouri Columbia,University of Missouri-Columbia,Y
University of New Hampshire,University of New Hampshire-Main Campus,Y
University of New Mexico,University of New Mexico-Main Campus,Y
University of Oklahoma,University of Oklahoma-Norman Campus,Y
University of Pittsburgh,University of Pittsburgh-Pittsburgh Campus,Y
University of South Carolina,University of South Carolina-Columbia,Y
University of South Florida,University of South Florida-Main Campus,Y
University of Southern California (USC),University of Southern California,Y
University of Tennessee Institute of Agriculture,The University of Tennessee-Knoxville,Y
University of Texas at Austin Marine Science Institute,The University of Texas at Austin,Y
University of the South,NA,Y
University of Virginia,University of Virginia-Main Campus,Y
University of Virginia at Wise,NA,Y
University of Washington,University of Washington-Seattle Campus,Y
University of Washington (Friday Harbor Lab),University of Washington-Seattle Campus,Y
University of Washington and Burke Museum,University of Washington-Seattle Campus,Y
University of Wisconsin,University of Wisconsin-Madison,Y
US Forest Service,NA,Y
USDA,NA,Y
USDA-Agricultural Research Service,NA,Y
USDA ARS,NA,Y
USDA Forest Service,NA,Y
USEPA Center for Computational Toxicology and Exposure (CCTE),NA,Y
USFWS - Fish and Aquatic Conservation,NA,Y
USGS,NA,Y
USGS / Colorado State University,NA,Y
USGS / University of Alaska - Fairbanks,NA,Y
USGS / University of Nebraska-Lincoln,NA,Y
USGS / University of Wisconsin-Madison,NA,Y
"Vesta, PBC",NA,Y
Virginia Institute of Marine Science (William and Mary),NA,Y
Virginia Museum of Natural History,NA,Y
Virginia Tech,Virginia Polytechnic Institute and State University,Y
Washington & Lee University,Washington and Lee University,Y
West Chester University,West Chester University of Pennsylvania,Y
West Texas A&M,NA,Y
West Texas A&M University,NA,Y
Western Colorado University,NA,Y
Wheaton College (MA),Wheaton College,Y
William & Mary / VIMS Eastern Shore Laboratory,NA,Y
Wittenberg College,NA,Y
Woods Hole Oceanographic Institution,NA,Y
Yale University School of the Environment,Yale University,Y
