Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,"Number
Applied","Mod
Flag",Notes,"Number
Applied"
10/23/2020 11:25,Cal State Fullerton,California,Biological Sciences (Animal Physiology),1/11/2021,https://careers.pageuppeople.com/873/fl/en-us/job/497950/assistantassociate-professor-of-biological-science,Asst / Assoc Prof,Tenure Track,10/26/2020 22:12,1) Is this the same animal physiology position as last year?,,FALSE,1) Is this the same animal physiology position as last year?,
10/22/2020 22:03,Utah Valley University,Utah,Plant Breeding/ Genetics,11/13/2020,https://www.uvu.jobs/postings/20330,Asst Prof,Tenure Track,,,,FALSE,,
10/22/2020 8:19,Copenhagen University,Denmark,Vertebrate Curator,12/1/2020,https://snm.ku.dk/ledige-stillinger/,Asst / Assoc Prof,Tenure Track,10/22/2020 9:03,"Seperate announcements for Assistant and Associate Professor tracks because of university policies, but only one will be filled. Part of three position cluster hire. To fill vacancy in mammalogy or herpetology",1,FALSE,"Seperate announcements for Assistant and Associate Professor tracks because of university policies, but only one will be filled. Part of three position cluster hire. To fill vacancy in mammalogy or herpetology",1
10/22/2020 8:17,Copenhagen University,Denmark,Paleontology Curator,12/1/2020,https://snm.ku.dk/ledige-stillinger/,Asst / Assoc Prof,Tenure Track,10/22/2020 9:03,"Seperate announcements for Assistant and Associate Professor tracks because of university policies, but only one will be filled. Part of three position cluster hire.",,FALSE,"Seperate announcements for Assistant and Associate Professor tracks because of university policies, but only one will be filled. Part of three position cluster hire.",
10/22/2020 8:14,Copenagen University,Denmark,Botany Curator,12/1/2020,https://snm.ku.dk/ledige-stillinger/,Asst / Assoc Prof,Tenure Track,10/22/2020 10:00,"Seperate announcements for Assistant and Associate Professor tracks because of university policies, but only one will be filled. Part of three position cluster hire.  1) It appears this position does not require letters of recommendation???  I haven't opened the actual application yet but letters are not listed under requirements for the application.",,FALSE,"Seperate announcements for Assistant and Associate Professor tracks because of university policies, but only one will be filled. Part of three position cluster hire.  1) It appears this position does not require letters of recommendation???  I haven't opened the actual application yet but letters are not listed under requirements for the application.",
10/21/2020 18:11,University of California Berkeley,California,Plant Ecology of Changing Ecosystems,12/22/2020,https://aprecruit.berkeley.edu/JPF02683,Asst Prof,Tenure Track,10/23/2020 13:41,"1) is this the same job they posted last year? was it a failed search? 2) @1 Yes, same position; but, not a failed search. It was cancelled due to COVID. 3) @2, do you know if interviews happened or an offer was made last year before they cancelled? 4) @3 the search was cancelled before interviews took place, but they had a shortlist already before they cancelled. 2 again) 4 is correct. In the 2019-2020 ecoevo job list, someone commented that they received a message that he/she/they were informed of being shortlisted when the search was cancelled. I also applied then, and did not get that msg (just the ""sorry, search is cancelled"" msg). Maybe that post is still up.",,FALSE,"1) is this the same job they posted last year? was it a failed search? 2) @1 Yes, same position; but, not a failed search. It was cancelled due to COVID. 3) @2, do you know if interviews happened or an offer was made last year before they cancelled? 4) @3 the search was cancelled before interviews took place, but they had a shortlist already before they cancelled. 2 again) 4 is correct. In the 2019-2020 ecoevo job list, someone commented that they received a message that he/she/they were informed of being shortlisted when the search was cancelled. I also applied then, and did not get that msg (just the ""sorry, search is cancelled"" msg). Maybe that post is still up.",
10/21/2020 16:02,Emory University,Georgia,Biology,12/10/2020,https://apply.interfolio.com/80049,Rank Open,Tenure Track,10/26/2020 11:08,"1) 3 letters required up front, before shortlisting 2) email from 10/26 listed Nov 10 as review date",1,FALSE,"1) 3 letters required up front, before shortlisting 2) email from 10/26 listed Nov 10 as review date",1
10/21/2020 13:23,University of British Columbia,Canada,Conservation and Restoration Science,11/30/2020,https://academicjobsonline.org/ajo/jobs/17171,Asst Prof,Tenure Track,10/22/2020 14:45,"Part of the Biodiversity solutions cluster hire (https://biodiversity.ubc.ca/cluster-hire) ""We encourage applicants who use a range of empirical or theoretical approaches, applying them to real-world problems from local to global scales, in terrestrial or aquatic ecosystems, and working in plant, animal or fungal systems"" 1) I think this is specific to botany, despite the above description. Can someone confirm if they know or agree? 2) @1 do you say that just because of the departments that are hiring for this position? 3) emailed to find out, will update 4) update to #3 from Clare Kremen: ""the search committee will be happy to review applicants working on animals as well.""",,FALSE,"Part of the Biodiversity solutions cluster hire (https://biodiversity.ubc.ca/cluster-hire) ""We encourage applicants who use a range of empirical or theoretical approaches, applying them to real-world problems from local to global scales, in terrestrial or aquatic ecosystems, and working in plant, animal or fungal systems"" 1) I think this is specific to botany, despite the above description. Can someone confirm if they know or agree? 2) @1 do you say that just because of the departments that are hiring for this position? 3) emailed to find out, will update 4) update to #3 from Clare Kremen: ""the search committee will be happy to review applicants working on animals as well.""",
10/21/2020 9:50,UMass Boston,Massachusetts,Data Science,11/30/2020,https://employmentopportunities.umb.edu/boston/en-us/job/506594/assistant-professor-of-data-science,Asst Prof,Tenure Track,10/25/2020 22:53,"""possibly two depending on financial resources"" ""We consider Data Science broadly defined, encompassing a variety of complex systems and data types, ranging from the Internet to social, biological, chemical, physical, ecological and environmental systems. This tenure-track position will be located in the departments of Biology, Chemistry, Computer Science, Engineering, Mathematics or Physics."" 1) I'm assuming ""You should arrange for at least three referees to submit letters of recommendation to the search committee"" means that they want letters beforehand? 2) Who are letters sent to? Is there an email contact for the search committee?",,FALSE,"""possibly two depending on financial resources"" ""We consider Data Science broadly defined, encompassing a variety of complex systems and data types, ranging from the Internet to social, biological, chemical, physical, ecological and environmental systems. This tenure-track position will be located in the departments of Biology, Chemistry, Computer Science, Engineering, Mathematics or Physics."" 1) I'm assuming ""You should arrange for at least three referees to submit letters of recommendation to the search committee"" means that they want letters beforehand? 2) Who are letters sent to? Is there an email contact for the search committee?",
10/21/2020 7:20,UT Austin,Texas,Integrative Biology,11/15/2020,https://apply.interfolio.com/79958,Rank Open,Tenure Track,10/22/2020 13:37,"1) Any idea what's with the 11/15 review date given the 10/19 posting? 2) What do you mean?  Many of the positions advertised here have ~4 week time frame from advertisement to first review.  It's a little on the short side but definitely not out of the ordinary. 3) Didn't UT Austin's IB have a search last year for a few positions? Does anyone know what happened with that? 4) There was one for Evolutionary Genomics. This seems broader and looking for somebody ""committed to building a diverse and inclusive educational environment"" 5) Maybe 2 (?) years ago they had several searches going at once that included assistant and open rank positions that were broadly covering integrative biology. I know at least 1-2 and maybe more hires came out of those searches. 6) this is a new initiative in the college and there will be other positions for other departments. The time frame is a factor of constraints above the department.",1,FALSE,"1) Any idea what's with the 11/15 review date given the 10/19 posting? 2) What do you mean?  Many of the positions advertised here have ~4 week time frame from advertisement to first review.  It's a little on the short side but definitely not out of the ordinary. 3) Didn't UT Austin's IB have a search last year for a few positions? Does anyone know what happened with that? 4) There was one for Evolutionary Genomics. This seems broader and looking for somebody ""committed to building a diverse and inclusive educational environment"" 5) Maybe 2 (?) years ago they had several searches going at once that included assistant and open rank positions that were broadly covering integrative biology. I know at least 1-2 and maybe more hires came out of those searches. 6) this is a new initiative in the college and there will be other positions for other departments. The time frame is a factor of constraints above the department.",1
10/19/2020 13:15,University of British Columbia,Canada,Biodiversity Data Science,12/1/2020,https://academicjobsonline.org/ajo/jobs/17215,Asst Prof,Tenure Track,10/26/2020 14:20,"Part of the Biodiversity solutions cluster hire (https://biodiversity.ubc.ca/cluster-hire) 2) ""All qualified candidates are encouraged to apply; however Canadians and permanent residents will be given priority."" Anyone have any sense of what the likelihood is of an international hire? Is that just required language for public Canadian institutions? Or is there virtually no chance of them hiring a non-Canadian? 3) My understanding is that if they have two candidates more or less equally matched they are required to hire the Canadian. So Canadians are more likely to be hired, but in my experience it is not unheard of for a non-Canadian to get an offer. 4) My experience (as a Canadian who was not hired in Canada) is that the department can offer to a foreign candidate if they make the justification that the Canadian candidate(s) are ""not equally matched"". As with anything this can be subjective, so there is an out. 3) There are lots of useful threads on this same topic for other Canadian jobs listed here 5) I asked about this— it sounds like UBC has a history of recruiting international candidates, and it's just a matter of making a case why the international candidate is the best for the job. 6) Mostly this is true. There are consequences for choosing a non-Canadian and so some departments are more reluctant than others to do it. 7) Consequences? 8) Paperwork has to be filled and submitted to the local govt i think. 9) I've always heard that if they choose a non-Canadian and that person turns down the offer there is a real danger of the search failing because the other Canadians were deemed 'not acceptable'. 6 again) 9 is correct. If you choose a non-Canadian you must indicate that the others are not qualified. So, you cannot go back to them later if the non-Canadian candidate falls through. Additionaly, you need to obtain special permission for the hire from the federal govt. But, that is usually pretty easy 10) Thanks for that info. Very interesting. I am Canadian, but never understood the actual ""reprocussions"" for hiring non-CAD. 11) FYI, since many international applicants are likely interested in these positions, make sure to look at housing costs in Vancouver if owning a house is important to you (there have been a couple instances of newly hired faculty at UBC leaving after deciding they aren't satisfied living in a townhouse/apartment).12) Agree with 11, Vancouver is beautiful but so expensive. You could get a house further out and just have a longer commute. 12) 11: do you know how far out/how long the commute for more affordable housing? 13) I'm originally from Vancouver... if you want an actual house with its own lot for under 1M USD, you probably have to look as far as Surrey - *maybe* New Westminster. So you can check the google commute times from there, keeping in mind traffic is lower now than it probably will be in the future. Tough to make work on the UBC starting salary... 14) Many of the UBC new faculty live in condos 15) Some UBC factulty have gone so far as to reside in the USA and commute up to Vanouver. Not sure how this works with covid travel restrictions tho. 16) well UBC is completely online for now, so I don't think covid travel restrictions have been a problem on that respect, but yes, multiple faculty have lived in the USA",2,FALSE,"Part of the Biodiversity solutions cluster hire (https://biodiversity.ubc.ca/cluster-hire) 2) ""All qualified candidates are encouraged to apply; however Canadians and permanent residents will be given priority."" Anyone have any sense of what the likelihood is of an international hire? Is that just required language for public Canadian institutions? Or is there virtually no chance of them hiring a non-Canadian? 3) My understanding is that if they have two candidates more or less equally matched they are required to hire the Canadian. So Canadians are more likely to be hired, but in my experience it is not unheard of for a non-Canadian to get an offer. 4) My experience (as a Canadian who was not hired in Canada) is that the department can offer to a foreign candidate if they make the justification that the Canadian candidate(s) are ""not equally matched"". As with anything this can be subjective, so there is an out. 3) There are lots of useful threads on this same topic for other Canadian jobs listed here 5) I asked about this— it sounds like UBC has a history of recruiting international candidates, and it's just a matter of making a case why the international candidate is the best for the job. 6) Mostly this is true. There are consequences for choosing a non-Canadian and so some departments are more reluctant than others to do it. 7) Consequences? 8) Paperwork has to be filled and submitted to the local govt i think. 9) I've always heard that if they choose a non-Canadian and that person turns down the offer there is a real danger of the search failing because the other Canadians were deemed 'not acceptable'. 6 again) 9 is correct. If you choose a non-Canadian you must indicate that the others are not qualified. So, you cannot go back to them later if the non-Canadian candidate falls through. Additionaly, you need to obtain special permission for the hire from the federal govt. But, that is usually pretty easy 10) Thanks for that info. Very interesting. I am Canadian, but never understood the actual ""reprocussions"" for hiring non-CAD. 11) FYI, since many international applicants are likely interested in these positions, make sure to look at housing costs in Vancouver if owning a house is important to you (there have been a couple instances of newly hired faculty at UBC leaving after deciding they aren't satisfied living in a townhouse/apartment).12) Agree with 11, Vancouver is beautiful but so expensive. You could get a house further out and just have a longer commute. 12) 11: do you know how far out/how long the commute for more affordable housing? 13) I'm originally from Vancouver... if you want an actual house with its own lot for under 1M USD, you probably have to look as far as Surrey - *maybe* New Westminster. So you can check the google commute times from there, keeping in mind traffic is lower now than it probably will be in the future. Tough to make work on the UBC starting salary... 14) Many of the UBC new faculty live in condos 15) Some UBC factulty have gone so far as to reside in the USA and commute up to Vanouver. Not sure how this works with covid travel restrictions tho. 16) well UBC is completely online for now, so I don't think covid travel restrictions have been a problem on that respect, but yes, multiple faculty have lived in the USA",2
10/19/2020 10:20,Trinity College,Connecticut,Molecular Biology,12/15/2020,https://trincoll.peopleadmin.com/postings/2176,Asst Prof,Tenure Track,,,,FALSE,,
10/18/2020 13:46,Carnegie Institution for Science,California,Global Ecology,11/1/2020,https://jobs.carnegiescience.edu/jobs/global-ecology-staff-associate/,Staff Scientist,Tenure Track,10/25/2020 10:37,"1) ""Carnegie Institution for Science’s Department of Global Ecology seeks applications for two (2) Staff Associates and one (1) Senior Staff Scientist""  2) Is this department also moving to Pasadena in a few years? (see Carnegie Institution Plant Science search notes below) 3) How ""soft money"" is this position? Is it like the Cary Institute where you need to supplement your salary with grant money? 4) These are 12 months fully-endowed resarch positions (i.e. 0% soft money) 5) I was informed by the Director that these are fixed-term 5 years positions, there is no guarantee you will be converted to permanent staff even if they are happy with your performance 6) So this is more like a long independent postdoc position? 7) Fixed, 5-year position with no guarantee for permanent position sounds the same as an assistant professorship no? Assuming there is a posibility that you get promoted. 8) The staff associate is like assistant professor, as you are supposed (and supported) to start your independent research group. Similarly to tenure track, you are not guaranteed that after 5 years you will get promoted to permanent, but some permanent faculty in multiple Carnegie departments started as staff associates, so it seems it can happen. 9) University-style tenure at a research (i.e. non-teaching) instutution seems weird. I suspect it's more just a continuation of your contract with promotion after 5 years rather than a real tenure situation where you can take your research in a totally new direction or even stop publishing entirely without termination.",2,FALSE,"1) ""Carnegie Institution for Science’s Department of Global Ecology seeks applications for two (2) Staff Associates and one (1) Senior Staff Scientist""  2) Is this department also moving to Pasadena in a few years? (see Carnegie Institution Plant Science search notes below) 3) How ""soft money"" is this position? Is it like the Cary Institute where you need to supplement your salary with grant money? 4) These are 12 months fully-endowed resarch positions (i.e. 0% soft money) 5) I was informed by the Director that these are fixed-term 5 years positions, there is no guarantee you will be converted to permanent staff even if they are happy with your performance 6) So this is more like a long independent postdoc position? 7) Fixed, 5-year position with no guarantee for permanent position sounds the same as an assistant professorship no? Assuming there is a posibility that you get promoted. 8) The staff associate is like assistant professor, as you are supposed (and supported) to start your independent research group. Similarly to tenure track, you are not guaranteed that after 5 years you will get promoted to permanent, but some permanent faculty in multiple Carnegie departments started as staff associates, so it seems it can happen. 9) University-style tenure at a research (i.e. non-teaching) instutution seems weird. I suspect it's more just a continuation of your contract with promotion after 5 years rather than a real tenure situation where you can take your research in a totally new direction or even stop publishing entirely without termination.",2
10/16/2020 13:27,University of Nebraska-Omaha,Nebraska,Molecular Evolutionary Biologist,11/20/2020,https://unomaha.peopleadmin.com/postings/11810,Asst Prof,Tenure Track,10/26/2020 6:38,,,FALSE,,
10/16/2020 13:26,University of Nebraska-Omaha,Nebraska,Organismal Evolutionary Biologist,11/20/2020,https://unomaha.peopleadmin.com/postings/11813,Asst Prof,Tenure Track,,,1,FALSE,,1
10/16/2020 9:45,Auburn University,Alabama,Coastal Ecological Engineering,11/13/2020,https://www.auemployment.com/postings/19629,Asst / Assoc Prof,Tenure Track,10/16/2020 15:41, ,,FALSE, ,
10/14/2020 11:57,Valdosta State University ,Georgia,"Plant Biology (Plant Physiology, Cell biology)",11/8/2020,https://careers.hprod.onehcm.usg.edu/psp/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=221231&PostingSeq=1,Asst Prof,Tenure Track,10/14/2020 12:03,,1,FALSE,,1
10/14/2020 9:11,University of North Carolina,North Carolina,"Microbiology, Human Health, Wellness + Equity",12/1/2020,https://unc.peopleadmin.com/postings/184424,Asst Prof,Tenure Track,10/20/2020 0:04,"1) ""The College of Arts and Sciences at the University of North Carolina at Chapel Hill is recruiting up to six outstanding tenure track faculty to deepen and expand research and teaching related to racial equity, in parallel with two searches that address historical aspects of American slavery"" 2) Department has a diversity postdoc. Possible inside hire 3) I know someone on the SC and this is not an inside hire. The diversity postdoc is different. x2 4) only URM apply, or allies too? x4",,FALSE,"1) ""The College of Arts and Sciences at the University of North Carolina at Chapel Hill is recruiting up to six outstanding tenure track faculty to deepen and expand research and teaching related to racial equity, in parallel with two searches that address historical aspects of American slavery"" 2) Department has a diversity postdoc. Possible inside hire 3) I know someone on the SC and this is not an inside hire. The diversity postdoc is different. x2 4) only URM apply, or allies too? x4",
10/14/2020 9:08,University of Southern California,California,Quantitative / Computational Biology,12/15/2020,https://usccareers.usc.edu/job/los-angeles/assistant-professor-of-quantitative-and-computational-biology/1209/17668361,Asst Prof,Tenure Track,10/16/2020 17:38,"""any area of computational biology. The ideal candidate’s research program will take mathematical, computational, and/or statistical approaches to questions in biological or biomedical research.""",,FALSE,"""any area of computational biology. The ideal candidate’s research program will take mathematical, computational, and/or statistical approaches to questions in biological or biomedical research.""",
10/14/2020 2:50,"WSL: Swiss Federal Institute for Forest, Snow & Landscape Research ",Switzerland,Open but within WSL's remit ,10/30/2020,https://intra.wsl.ch/de/anstellung-/-hr-lifecycle/rekrutierung-auswahl#c4385,Institute Director ,Tenure Track,10/14/2020 3:04,Should speak German and/or French. https://www.wsl.ch/fileadmin/user_upload/WSL/Ueber_die_WSL/Arbeiten_an_der_WSL/direktion/Direktor_WSL_ETH_d.pdf,,FALSE,Should speak German and/or French. https://www.wsl.ch/fileadmin/user_upload/WSL/Ueber_die_WSL/Arbeiten_an_der_WSL/direktion/Direktor_WSL_ETH_d.pdf,
10/13/2020 20:22,University of Tennessee at Chattanooga ,Tennessee,"Biology, Geology, Environmental Science",11/6/2020,https://ut.taleo.net/careersection/utc_faculty/jobdetail.ftl?job=20000000X1,Full Prof,Tenure Track,10/23/2020 16:56,Looking for Department Head.,,FALSE,Looking for Department Head.,
10/13/2020 15:41,Yale University,Connecticut,Ecology and Evolutionary Biology,2/1/2021,https://apply.interfolio.com/79739,Asst Prof,Tenure Track,10/22/2020 11:22,"Very general search; note also open to junior Assistant Profs 2) Where does it say that deadline? Interfolio says Oct 13, 2021, which cannot be right 3) Under Application Instructions. Typo on interfolio applicaiton reveiws start on Feb. 1, 2021. 4) This department has historically been hard for women and minority candidates and early career faculty but has recently been working on improving diversity and inclusion x3  [Extended discussion of past & current climate of this department deleted, which comment #4 perfectly summarizes. -- AP] 5) The deadline is so late! Will they start reviewing way earlier do you think? 6) unlikely 5 again) I wonder what these would mean for possible negotiations? Most other places would have be putting out offers as the *interviews* are going out at Yale... 7) Maybe they are hoping (wishing) it will be late enough to allow for in person interviews? It is a very strange timeline to be posted so early with such a late deadline. 8) of course Yale got all the negative things said about it somehow removed from this comment box.  AP) @8 I removed the lengthy discussion because it was already encapsulated in #4's comment (which is not entirely pro-Yale). I don't want this site devolving into the toxicity that is consuming the rest of the world, so if you want to trash people or departments, do it on twitter. 9) @AP Thank you for that or just go on the venting section. Its specifically there for you know venting. 10) Grad student here, while this is general hire dept is looking strongly for diversity applicants; @8 want to reiterate @4 - dept is under new leadership, has hired for diversity each of the last 3 years, & working on climate/inclusion. ",1,FALSE,"Very general search; note also open to junior Assistant Profs 2) Where does it say that deadline? Interfolio says Oct 13, 2021, which cannot be right 3) Under Application Instructions. Typo on interfolio applicaiton reveiws start on Feb. 1, 2021. 4) This department has historically been hard for women and minority candidates and early career faculty but has recently been working on improving diversity and inclusion x3  [Extended discussion of past & current climate of this department deleted, which comment #4 perfectly summarizes. -- AP] 5) The deadline is so late! Will they start reviewing way earlier do you think? 6) unlikely 5 again) I wonder what these would mean for possible negotiations? Most other places would have be putting out offers as the *interviews* are going out at Yale... 7) Maybe they are hoping (wishing) it will be late enough to allow for in person interviews? It is a very strange timeline to be posted so early with such a late deadline. 8) of course Yale got all the negative things said about it somehow removed from this comment box.  AP) @8 I removed the lengthy discussion because it was already encapsulated in #4's comment (which is not entirely pro-Yale). I don't want this site devolving into the toxicity that is consuming the rest of the world, so if you want to trash people or departments, do it on twitter. 9) @AP Thank you for that or just go on the venting section. Its specifically there for you know venting. 10) Grad student here, while this is general hire dept is looking strongly for diversity applicants; @8 want to reiterate @4 - dept is under new leadership, has hired for diversity each of the last 3 years, & working on climate/inclusion. ",1
10/13/2020 13:41,Utah Valley University,Utah,Evolution,11/12/2020,https://www.uvu.jobs/postings/20304,Rank Open,Tenure Track,10/17/2020 10:05,5 references required. Ain't happening. 2) Looks like they just need contact information for five refs. ,,FALSE,5 references required. Ain't happening. 2) Looks like they just need contact information for five refs. ,
10/13/2020 5:50,University of Toronto (St. George Campus),Canada,Statistics for Life Sciences,11/30/2020,https://www.universityaffairs.ca/search-job/?job_id=51209,Asst Prof,Tenure Track,10/13/2020 5:51,Teaching stream,,FALSE,Teaching stream,
10/13/2020 5:38,York University,Canada,Biology,12/7/2020,https://www.academicwork.ca/jobs/open-rank-professorial-stream-position-in-biology-astronomy-astrophysics-mathematics-statistics-york-university,Rank Open,Tenure Track,10/13/2020 21:41,"This opportunity is open to qualified individuals who self-identify as Black peoples of African Descent (for example Africans and African heritage people from the Caribbean, Americas, Europe). [...] Candidates must be appointable to one of the departments of Biology, Physics and Astronomy, or Mathematics and Statistics. [...] The Department of Biology is interested in candidates who are undertaking innovative and integrative approaches to study fundamental genetics or immunology at a molecular, cellular, and/or organismal level. ",,FALSE,"This opportunity is open to qualified individuals who self-identify as Black peoples of African Descent (for example Africans and African heritage people from the Caribbean, Americas, Europe). [...] Candidates must be appointable to one of the departments of Biology, Physics and Astronomy, or Mathematics and Statistics. [...] The Department of Biology is interested in candidates who are undertaking innovative and integrative approaches to study fundamental genetics or immunology at a molecular, cellular, and/or organismal level. ",
10/13/2020 5:37,Aarhus University,Denmark,Aquatic Ecosystem and Eco-Hydrological Modelling,11/15/2020,https://www.nature.com/naturecareers/job/senior-researcher-in-aquatic-ecosystem-and-ecohydrological-modelling-aarhus-university-au-730745,Senior Researcher,Tenure Track,,,,FALSE,,
10/13/2020 5:36,Hong Kong Baptist University,Asia (Other),Soil Science / Crop Protection / Crop Production / Horticulture (Two Vacancies),12/8/2020,https://www.nature.com/naturecareers/job/associate-professor-assistant-professor-hong-kong-baptist-university-hkbu-730761,Asst / Assoc Prof,Tenure Track,,,,FALSE,,
10/13/2020 5:14,Leibniz Institute for Baltic Sea Research Warnemünde (IOW),Germany,Bioinformatics,11/10/2020,https://www.researchgate.net/job/945729_Bioinformatician_tenure_track,Rank Open,Tenure Track,10/16/2020 2:21,"Based in the offered pay scale (TV-L EG 13), this is a staff scientist position. That means the payment is significantly less than a W1 assistant professorship. ",,FALSE,"Based in the offered pay scale (TV-L EG 13), this is a staff scientist position. That means the payment is significantly less than a W1 assistant professorship. ",
10/12/2020 23:47,Fulbright University Vietnam,Asia (Other),Multiple areas,12/31/2020,https://fulbright.edu.vn/join-us/,Rank Open,Fixed Term,,,,FALSE,,
10/12/2020 21:40,Wake Forest,North Carolina,Quantitative Ecology,11/16/2020,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/job/Winston-Salem-NC/Assistant-Professor--Quantitative-Ecology_R0002739,Asst Prof,Tenure Track,10/21/2020 17:57,"Does not specifically say TT, so I am not sure about that. 2) Definitely Tenure Track",,FALSE,"Does not specifically say TT, so I am not sure about that. 2) Definitely Tenure Track",
10/10/2020 10:10,Emory University,Georgia,Biological Anthropology,12/1/2020,https://apply.interfolio.com/79198,Assoc / Full Prof,Tenure Track,,,,FALSE,,
