,Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,"Number
Applied","Mod
Flag",Notes,"Number
Applied",insti_ranking
685,8/27/2019 2:18,Cornell University,New York,Plant Synthetic Biology ,10/21/2019,https://academicjobsonline.org/ajo/jobs/14180,Asst / Assoc Prof,Tenure Track,1/3/2020 22:11,"Wetlands only mentioned in the title. 2) invited for phone interview x3 3) Thank you for letting us know Good luck! 4) any updates? 11/6 5) nothing yet 6) Invited for on-campus interview 11/8 7) Did anyone else find this phone interview to be weird? One person, not an ecologist, summarizes your convo... sorry just a little bitter here. 8) That's a bummer. I thought my phone interview went very well, but no campus invite. @8 I thought my phone interview was great too! Such a bummer. 9) Position relisted today  (11-18) on Higher Ed Jobs? @9 yeah saw this today... weird",,FALSE,"Wetlands only mentioned in the title. 2) invited for phone interview x3 3) Thank you for letting us know Good luck! 4) any updates? 11/6 5) nothing yet 6) Invited for on-campus interview 11/8 7) Did anyone else find this phone interview to be weird? One person, not an ecologist, summarizes your convo... sorry just a little bitter here. 8) That's a bummer. I thought my phone interview went very well, but no campus invite. @8 I thought my phone interview was great too! Such a bummer. 9) Position relisted today  (11-18) on Higher Ed Jobs? @9 yeah saw this today... weird",,R1
724,8/13/2019 22:35,Cornell University,New York,Environmental Microbiology,9/16/2019,https://academicjobsonline.org/ajo/jobs/14213,Asst / Assoc Prof,Tenure Track,1/22/2020 0:57,Did this search fail last year? 2) Did anybody hear anything about this search yet? 3) I haven't x6 4) Phone interview requested 14-Oct 4x 5) Any update on on campus invites yet? 6) Invited for on campus interview Nov 6  (7) Offer Made,13,FALSE,Did this search fail last year? 2) Did anybody hear anything about this search yet? 3) I haven't x6 4) Phone interview requested 14-Oct 4x 5) Any update on on campus invites yet? 6) Invited for on campus interview Nov 6  (7) Offer Made,13,R1
757,7/31/2019 19:19,Cornell University,New York,Computational Biology,9/1/2019,https://academicjobsonline.org/ajo/jobs/14054,Asst / Assoc Prof,Tenure Track,10/2/2019 19:19,"Two positions. ""Emphasis in population genomics, comparative genomics and/or functional genomics"" 2) any updates? 3) They have a list of 4 candidates starting interviews next week. Got it from an internal Cornell wide email. Good luck to the candidates!",7,FALSE,"Two positions. ""Emphasis in population genomics, comparative genomics and/or functional genomics"" 2) any updates? 3) They have a list of 4 candidates starting interviews next week. Got it from an internal Cornell wide email. Good luck to the candidates!",7,R1
771,7/25/2019 16:59,Cornell University,New York,Animal Behavior,9/30/2019,https://academicjobsonline.org/ajo/jobs/14110,Asst Prof,Tenure Track,1/28/2020 14:34,"Third times the charm? 2) lol 3) oof, this really looks bad. any news on why the previous two failed? 4) @3 dunno about the first time but last year they made offers but the folks went elsewhere 5) First year department couldn't agree and no offers were extended. Last year at least two offers went out and were turned down. 6) It's the usual...  those top two got multiple offers elsewhere, and heaven forbid they (or any schools) consider the 3rd or 4th best out of a few hundred. x3 6) I've heard they're having trouble finding the right balance between neuro and behaviour (Depart of Neuro and Behav). 7) someone at ABS described it thus: One was a failed search, and the other search failed. 8) lol that's poetic but not especially useful...? 8) Well let's throw the spaghetti and see if one sticks. 9) Neither time did the search ‘fail.'  The first time, none of the invited candidates were a good fit for NBB/Cornell.  The second time, there was one highly attractive candidate, an offer was made (and tentatively accepted), but then the candidate had to say no because their partner could not leave their current job. NBB’s aim is to find the right person, not to fill the position quickly. 10) asked for missing letter, so they're at least starting to review applications. 11) Invited for on-campus interview x3 12) lol @ 9. That is a strange definition of 'failing' then. NBB has a great research history, but the department as currently constructed is not very functional. 13) The year is 2045. NBB has still not had a failed search, it simply has not found the right person. x2 14) Any word after in person interviews?  15) heard through the grapevine that an offer has been made 16) My guess is that the ""Negotiations"" post on 12/24 at an R1 is the offer for this position. 16) @ 15, no its not. At least not unless the candidate changed a bunch of details (like gender) to make it harder to guess. ",12,FALSE,"Third times the charm? 2) lol 3) oof, this really looks bad. any news on why the previous two failed? 4) @3 dunno about the first time but last year they made offers but the folks went elsewhere 5) First year department couldn't agree and no offers were extended. Last year at least two offers went out and were turned down. 6) It's the usual...  those top two got multiple offers elsewhere, and heaven forbid they (or any schools) consider the 3rd or 4th best out of a few hundred. x3 6) I've heard they're having trouble finding the right balance between neuro and behaviour (Depart of Neuro and Behav). 7) someone at ABS described it thus: One was a failed search, and the other search failed. 8) lol that's poetic but not especially useful...? 8) Well let's throw the spaghetti and see if one sticks. 9) Neither time did the search ‘fail.'  The first time, none of the invited candidates were a good fit for NBB/Cornell.  The second time, there was one highly attractive candidate, an offer was made (and tentatively accepted), but then the candidate had to say no because their partner could not leave their current job. NBB’s aim is to find the right person, not to fill the position quickly. 10) asked for missing letter, so they're at least starting to review applications. 11) Invited for on-campus interview x3 12) lol @ 9. That is a strange definition of 'failing' then. NBB has a great research history, but the department as currently constructed is not very functional. 13) The year is 2045. NBB has still not had a failed search, it simply has not found the right person. x2 14) Any word after in person interviews?  15) heard through the grapevine that an offer has been made 16) My guess is that the ""Negotiations"" post on 12/24 at an R1 is the offer for this position. 16) @ 15, no its not. At least not unless the candidate changed a bunch of details (like gender) to make it harder to guess. ",12,R1
16,2/21/2020 3:13,Sweet Briar College,Virginia,Biology and Environmental Science,,https://jobs.sciencecareers.org/job/511510/visiting-assistant-professor-of-biology-and-environmental-science/,VAP,Fixed Term,2/21/2020 3:14,rolling deadline apparently,,FALSE,rolling deadline apparently,,Other
17,2/21/2020 3:09,Grinnell College,Iowa,Evolutionary Biology,3/2/2020,https://jobs.sciencecareers.org/job/511930/assistant-professor-of-biology-evolutionary-biology-1-year-term-start-fall-2020-/,VAP,Fixed Term,2/21/2020 14:19,presumably to bridge  a deferred start date for the TT position hired earlier this cycle?,,FALSE,presumably to bridge  a deferred start date for the TT position hired earlier this cycle?,,Other
18,2/21/2020 3:07,Whitman College,Washington,Animal physiology,3/9/2020,https://jobs.sciencecareers.org/job/513121/visiting-assistant-professor-of-biology/,Visiting Asst Prof,Fixed Term,,,,FALSE,,,Other
19,2/21/2020 0:28,Swarthmore College,Pennsylvania,Ecology,2/17/2020,https://apply.interfolio.com/73269,Asst Prof,Fixed Term,2/22/2020 5:01,"VAP 1) what does VAP mean? 2) visiting assistant professor (i.e., not tenure track)",2,FALSE,"VAP 1) what does VAP mean? 2) visiting assistant professor (i.e., not tenure track)",2,Other
277,11/18/2019 16:16,Duke University,North Carolina,"Near-surface geology and geophysics, physical oceanography,  ocean-atmospheric interactions, restoration ecology, environmental health",1/6/2020,https://www.nature.com/naturecareers/job/tenuretrack-faculty-positions-duke-university-710783,Asst Prof,Tenure Track,2/15/2020 2:11,"Two positions. 2) don't know if recently changed, but review date on website says Jan 20, not Jan 6 3) review date seems to be extended to 2/14/2020 https://academicjobsonline.org/ajo/jobs/15443 4) Some website pings today (2/14), so seems like review may indeed have started",3,FALSE,"Two positions. 2) don't know if recently changed, but review date on website says Jan 20, not Jan 6 3) review date seems to be extended to 2/14/2020 https://academicjobsonline.org/ajo/jobs/15443 4) Some website pings today (2/14), so seems like review may indeed have started",3,R1
548,9/24/2019 1:02,Emory University,Georgia,Biogeochemistry,11/11/2019,https://jobs.sciencecareers.org/job/504350/assistant-professor-in-biogeochemistry/,Asst Prof,Tenure Track,1/11/2020 1:07,"1) any updates to this one?11/13 2) No 11/22 x2 3) a slow one as many others 4) received email for sending recommendation letters; wondering if anyone else received that and if it s automated 11/27 5) No email, congrats @4. 6) I received that email too x5. Anyone received interview call yet? 7) nope. The letter request date is until Dec 10. They might wait until that date before scheduling interview. 9) Traffic on website 12/9..10) phone interview request 12/12 x3 .. 11) any updates here after the interview. 12) Not yet x3 (12/20) 13) Updates?.. 14) haven't heard anything yet after the interview. Hopefully after the new year. Any news? 15) 14 here. no news yet... x2 is it possible that someone not on this lists has already ben invited for interview? Maybe we need to wait for one more week or so. 16) Seems so. Maybe things are just moving slowly after the break. 17) invited for onsite interview (1/10) x 2",9,FALSE,"1) any updates to this one?11/13 2) No 11/22 x2 3) a slow one as many others 4) received email for sending recommendation letters; wondering if anyone else received that and if it s automated 11/27 5) No email, congrats @4. 6) I received that email too x5. Anyone received interview call yet? 7) nope. The letter request date is until Dec 10. They might wait until that date before scheduling interview. 9) Traffic on website 12/9..10) phone interview request 12/12 x3 .. 11) any updates here after the interview. 12) Not yet x3 (12/20) 13) Updates?.. 14) haven't heard anything yet after the interview. Hopefully after the new year. Any news? 15) 14 here. no news yet... x2 is it possible that someone not on this lists has already ben invited for interview? Maybe we need to wait for one more week or so. 16) Seems so. Maybe things are just moving slowly after the break. 17) invited for onsite interview (1/10) x 2",9,R1
22,2/19/2020 15:07,SUNY Cortland,New York,Biology,3/29/2020,https://www.higheredjobs.com/search/details.cfm?JobCode=177219629&Title=Diversity%20Faculty%20Fellow%2C%20Instructor%20or%20Assistant%20Professor%2C%20Biologicial%20Sciences,Asst Prof,Tenure Track,2/19/2020 18:51,Diversity Faculty Fellow - can also be hired as an instructor if ABD. Sounds like a neat position for people interested in contributing to and enhancing diversity.,,FALSE,Diversity Faculty Fellow - can also be hired as an instructor if ABD. Sounds like a neat position for people interested in contributing to and enhancing diversity.,,Other
427,10/15/2019 23:18,Florida International University,Florida,Tropical Ecology and Conservation,11/18/2019,https://facultycareers.fiu.edu/?posting=519325,Assoc / Full Prof,Tenure Track,2/6/2020 13:11,"Walter and Rosalie Goldberg Professorship. ""The successful candidate will be expected to ... bring and maintain an active externally funded research program"". 1) Seriously, are these candidates really on ecoevojobs.net? Who are these people, who am I? My Monday, mid-semester, post-doc pep talk...  2) Has anyone had difficulty accessing the HR website? It keeps telling me there is an unauthorized token issue? 3) any word yet? 12/13 4) nothing yet 12/19 x2 5) nothing yet 01/08 x 3 6) Any news in February??",3,FALSE,"Walter and Rosalie Goldberg Professorship. ""The successful candidate will be expected to ... bring and maintain an active externally funded research program"". 1) Seriously, are these candidates really on ecoevojobs.net? Who are these people, who am I? My Monday, mid-semester, post-doc pep talk...  2) Has anyone had difficulty accessing the HR website? It keeps telling me there is an unauthorized token issue? 3) any word yet? 12/13 4) nothing yet 12/19 x2 5) nothing yet 01/08 x 3 6) Any news in February??",3,R1
604,9/12/2019 11:07,Florida International University,Florida,Phycology,9/23/2019,https://www.nature.com/naturecareers/job/phycologist-florida-international-university-fiu-704403,Rank Open,Tenure Track,12/2/2019 16:37,"From the posting: ""Only candidates having significant transferable funding at the time of hiring will be considered for this position"" 2) LOL. So desperate.x3 3) Dont even pretend like you aren't desperate for a job 4) Most places have this policy, they just don't put it into writing. Very common in programs that are life sciences/health fields and looking to recruit people gunning for NIH grants 5) Yeah, but thats more common in health fields by far. Not sure how much NIH money they're counting on someone studying algae to get. I'm tempted to think they have someone specific in mind, so it's oddly tailored to that person, who may also be brining over NSF monies 6) This is normal for FIU, all job postings i've seen from them require you to bring in money 7) agree w/4, but this is not restricted to NIH-seekers, money is always a plus, it's just rare to have this stated explicitly... is more ""honest"" dare I say and does not necessarily mean they have a specific person in mind  8) Received a request for more information about extramural funding 11/26/19",1,FALSE,"From the posting: ""Only candidates having significant transferable funding at the time of hiring will be considered for this position"" 2) LOL. So desperate.x3 3) Dont even pretend like you aren't desperate for a job 4) Most places have this policy, they just don't put it into writing. Very common in programs that are life sciences/health fields and looking to recruit people gunning for NIH grants 5) Yeah, but thats more common in health fields by far. Not sure how much NIH money they're counting on someone studying algae to get. I'm tempted to think they have someone specific in mind, so it's oddly tailored to that person, who may also be brining over NSF monies 6) This is normal for FIU, all job postings i've seen from them require you to bring in money 7) agree w/4, but this is not restricted to NIH-seekers, money is always a plus, it's just rare to have this stated explicitly... is more ""honest"" dare I say and does not necessarily mean they have a specific person in mind  8) Received a request for more information about extramural funding 11/26/19",1,R1
756,7/31/2019 20:59,Florida State University,Florida,Environmental GIScience,9/20/2019,https://geography.fsu.edu/open-positions/,Asst Prof,Tenure Track,1/17/2020 20:20,"""Specific research specialization is open, and can include: natural resource management, land-use (or sea-use) land cover change, landscape ecology, and weather and climate"" 2) note: the department webpage is currently being migrated over to a new college server - hope to fix broken links, etc. asap 10/31/2019: Any updates? 3) phone interview requested 10/23 4) 01/17 Got rejection email ",2,FALSE,"""Specific research specialization is open, and can include: natural resource management, land-use (or sea-use) land cover change, landscape ecology, and weather and climate"" 2) note: the department webpage is currently being migrated over to a new college server - hope to fix broken links, etc. asap 10/31/2019: Any updates? 3) phone interview requested 10/23 4) 01/17 Got rejection email ",2,R1
768,7/29/2019 22:38,Florida State University,Florida,"Director, Coastal and Marine Laboratory",9/15/2019,https://marinelab.fsu.edu/people/job-openings/director/,Rank Open,Tenure Track,12/12/2019 22:33,Tenure track or  fixed term depending on the qualifications of the candidate 2) lab is growing a lot right now - very exciting time to assume leadership as the Director.  3)  Interviews completed for now,,FALSE,Tenure track or  fixed term depending on the qualifications of the candidate 2) lab is growing a lot right now - very exciting time to assume leadership as the Director.  3)  Interviews completed for now,,R1
697,8/24/2019 1:24,George Mason University,Virginia,Genetics ,9/23/2019,https://jobs.gmu.edu/postings/46374,Asst Prof,Tenure Track,11/15/2019 0:45,"1) Anyone have any updates? 2) Nope 10/28 x4 3) phone interview Nov 1st, haven't heard anything since",8,FALSE,"1) Anyone have any updates? 2) Nope 10/28 x4 3) phone interview Nov 1st, haven't heard anything since",8,R1
698,8/24/2019 1:21,George Mason University,Virginia,Ecology,9/23/2019,https://jobs.gmu.edu/postings/46376,Asst Prof,Tenure Track,11/20/2019 16:12,"1) Look at prefered qualifications. They want a population ecologist. 2) resume vs cv? 3) letter of intent? 4) This is a strange application: resume required, CV optional? Letter of intent? 5) Anyone hear any news from this search? 6) No updates here (x8) 7) Invited for phone interview to be held Oct 29 or 30 x2 8) Invited for on campus interview  9) invited on 11/19 for on campus interview 10) Strange time difference between the two invites!",20,FALSE,"1) Look at prefered qualifications. They want a population ecologist. 2) resume vs cv? 3) letter of intent? 4) This is a strange application: resume required, CV optional? Letter of intent? 5) Anyone hear any news from this search? 6) No updates here (x8) 7) Invited for phone interview to be held Oct 29 or 30 x2 8) Invited for on campus interview  9) invited on 11/19 for on campus interview 10) Strange time difference between the two invites!",20,R1
774,7/24/2019 19:18,George Mason University,Virginia,Environmental Social Science,9/1/2019,https://www.higheredjobs.com/search/details.cfm?JobCode=177047691&Title=Assistant%20%2F%20Associate%20Professor%2C%20Environmental%20Social%20Science%20%28Tenure%2DTrack%29,Asst / Assoc Prof,Tenure Track,11/3/2019 22:45,1) Any updates? 2) none yet x3,3,FALSE,1) Any updates? 2) none yet x3,3,R1
320,11/5/2019 13:15,George Washington University,District of Columbia,Biodiversity Informatics,12/4/2019,https://www.gwu.jobs/postings/71787,Asst Prof,Tenure Track,1/29/2020 15:25,"1) Seems much broader than biodiversity informatics ""We encourage a broad array of applicants working with “big data,” including but not limited to: i) artificial intelligence applied to biological systems; ii) -omics (genomics, transcriptomics, metabolomics, phenomics, etc.); and iii) evolutionary, ecological, environmental, and global change biology."" 2) Letters requested (23 Dec) X3 3) @2 did they contact you directly? 2x  4) Yes - applicants were contacted directly to have letters sent via email 5) Campus invite received 01/24. 6) @5 damn, none here though I did get a letter request x3",8,FALSE,"1) Seems much broader than biodiversity informatics ""We encourage a broad array of applicants working with “big data,” including but not limited to: i) artificial intelligence applied to biological systems; ii) -omics (genomics, transcriptomics, metabolomics, phenomics, etc.); and iii) evolutionary, ecological, environmental, and global change biology."" 2) Letters requested (23 Dec) X3 3) @2 did they contact you directly? 2x  4) Yes - applicants were contacted directly to have letters sent via email 5) Campus invite received 01/24. 6) @5 damn, none here though I did get a letter request x3",8,R1
424,10/16/2019 22:21,George Washington University,District of Columbia,Evolutionary Biology,11/15/2019,https://www.gwu.jobs/postings/71361,Asst Prof,Tenure Track,1/31/2020 19:44,"This dept has recruited some sharp new PIs in the past few years. 1) Letters requested 11/25 x11 2) directly to references? 3) No, to applicant 4) thanks for the info! x3 5) Time to check the spam folder :) 6) Sounds like a great place, someone was just denied tenure there. At the department level. 7) @6 is that sarcastic? Everyone there seems nice, so far? 8) nope, not sarcastic. People are almost always nice, even when denying tenure. Tenure denials are pretty rare, especially when startups are so high. If you're interviewing, be careful. 9)They moved to letters quick 10) rejection letter received x6 11) @10, were your letters requested or was it rejection after no contact? Thx 11) None of the above - I seem to be a perpetual second-tier applicant this cycle. I guess purgatory is better than hell? 12) Either way no job so..... 13) I didn't get a request for letters but also didn't get a rejection letter; does that mean I'm in limbo or I was so far down the list they didn't even bother with a rejection letter? 14) hey @13, I am in the same boat, and, historically, it has meant the latter; generally, my application status will change to 'not selected' about a year later 15) I can't imagine depts could be so cruel to actively deem somebody not even worth a rejection letter. I prefer to think that they are being extra cautious and are holding some in reserve in case they can't agree on anybody from the first batch. 16) Rejection letters are pretty rare. Academia can be cruel even though that's not their intention. Of course that they don't care is part of the problem but it's really a feature of the system.  17) Any Skype or on-campus invites? 18) I had my letters requested but have not heard anything since then. x5 18) As mentioned above they recently denied tenure to a faculty member who was an underrepresented woman but also simultaneously granted tenure to a white male in the department. Perhaps a rather sexist department. 19) @18 was she performing well?... Because tenure-track isn't a guarentee, right? 20) Any tenure denial is a problem because it demonstrates that neither the department nor the faculty member know what they are doing, what they are doing right or wrong or capable of mentoring or being mentored. 21) Campus interview invitation 12/17. x2 22) 18 here. From my understanding she was but as @20 mentioned, there seemed to be really poor mentorship within the department and lack of transparency about the process. 23) received rejection letter today (1/30) - stated a  ""small group"" of individuals was chosen for interviews/further consideration - good luck to you all! x2",35,FALSE,"This dept has recruited some sharp new PIs in the past few years. 1) Letters requested 11/25 x11 2) directly to references? 3) No, to applicant 4) thanks for the info! x3 5) Time to check the spam folder :) 6) Sounds like a great place, someone was just denied tenure there. At the department level. 7) @6 is that sarcastic? Everyone there seems nice, so far? 8) nope, not sarcastic. People are almost always nice, even when denying tenure. Tenure denials are pretty rare, especially when startups are so high. If you're interviewing, be careful. 9)They moved to letters quick 10) rejection letter received x6 11) @10, were your letters requested or was it rejection after no contact? Thx 11) None of the above - I seem to be a perpetual second-tier applicant this cycle. I guess purgatory is better than hell? 12) Either way no job so..... 13) I didn't get a request for letters but also didn't get a rejection letter; does that mean I'm in limbo or I was so far down the list they didn't even bother with a rejection letter? 14) hey @13, I am in the same boat, and, historically, it has meant the latter; generally, my application status will change to 'not selected' about a year later 15) I can't imagine depts could be so cruel to actively deem somebody not even worth a rejection letter. I prefer to think that they are being extra cautious and are holding some in reserve in case they can't agree on anybody from the first batch. 16) Rejection letters are pretty rare. Academia can be cruel even though that's not their intention. Of course that they don't care is part of the problem but it's really a feature of the system.  17) Any Skype or on-campus invites? 18) I had my letters requested but have not heard anything since then. x5 18) As mentioned above they recently denied tenure to a faculty member who was an underrepresented woman but also simultaneously granted tenure to a white male in the department. Perhaps a rather sexist department. 19) @18 was she performing well?... Because tenure-track isn't a guarentee, right? 20) Any tenure denial is a problem because it demonstrates that neither the department nor the faculty member know what they are doing, what they are doing right or wrong or capable of mentoring or being mentored. 21) Campus interview invitation 12/17. x2 22) 18 here. From my understanding she was but as @20 mentioned, there seemed to be really poor mentorship within the department and lack of transparency about the process. 23) received rejection letter today (1/30) - stated a  ""small group"" of individuals was chosen for interviews/further consideration - good luck to you all! x2",35,R1
