Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,Number Applied,Mod Flag,Notes Backup,Number Applied
3/24/2023 14:05,University of Guelph,Canada,Ecological Pest Management,4/19/2023,https://jobs.sciencecareers.org/job/641406/assistant-or-associate-professor/?TrackID=304451&utm_source=jobs&utm_medium=email&utm_campaign=email-careers-job-alert&BatchID=5642&JobAlertId=367762,Asst / Assoc Prof,Tenure Track,3/31/2023 3:39,Applicants should have expertise in forest and/or crop pest management with a focus on ecologically based pest management strategies and tactics in forest or agricultural systems.,,FALSE,Applicants should have expertise in forest and/or crop pest management with a focus on ecologically based pest management strategies and tactics in forest or agricultural systems.,
3/24/2023 5:48,University of Georgia,Georgia,Ecology,4/22/2023,https://www.ugajobsearch.com/postings/308325,Limited-Term Lecturer,Fixed Term,3/27/2023 6:37,1) two positions,,FALSE,1) two positions,
3/23/2023 10:05,Jackson State University,Mississippi,Environmental Science: Remote Sensing & Geographical Information Systems,,https://jsums.peopleadmin.com/postings/10568,Asst / Assoc Prof,Permanent Non-TT,3/24/2023 8:18,"""Preferred areas of research include but are not limited to coastal and marine ecology, wetland ecology, environmental restoration, environmental systems, natural resources management, and environmental impact assessment and management.""   1) reposted to Ecolog on 3/23 [old listing removed -AP]",,FALSE,"""Preferred areas of research include but are not limited to coastal and marine ecology, wetland ecology, environmental restoration, environmental systems, natural resources management, and environmental impact assessment and management.""   1) reposted to Ecolog on 3/23 [old listing removed -AP]",
3/23/2023 8:02,University of Edinburgh,United Kingdom,Ecology,4/17/2023,https://elxw.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/6826,Rank Open,Tenure Track,4/3/2023 21:24,"any info about this position? Link takes you toa generaic posting where you need to create an account to log in and apply.2) I think this is a link with info https://elxw.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/6826/?utm_medium=jobshare 3) Can't find the link to create a profile! 4) worth noting that this is in a geosciences department 5) if invited to interview (in May) applicants will have to 'evidence their right to work in the UK''. Does this essentially negate non UK applicants?  6) Not sure about this school, but as an American I interviewed at a few UK schools. All said an offer would be contingent on visa approval.  Visas for professors in STEM looked very straightforward.  Don't let it stop you from applying to the UK. 7) ""We welcome candidates with expertise in ecological applications of remote sensing/airborne platforms and data-driven innovation in ecology."" 8) Got email clarification about the right to work thing- ""If the successful candidate needed to apply for right to work in the UK, the University of Edinburgh would provide visa sponsorship""",,FALSE,"any info about this position? Link takes you toa generaic posting where you need to create an account to log in and apply.2) I think this is a link with info https://elxw.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/6826/?utm_medium=jobshare 3) Can't find the link to create a profile! 4) worth noting that this is in a geosciences department 5) if invited to interview (in May) applicants will have to 'evidence their right to work in the UK''. Does this essentially negate non UK applicants?  6) Not sure about this school, but as an American I interviewed at a few UK schools. All said an offer would be contingent on visa approval.  Visas for professors in STEM looked very straightforward.  Don't let it stop you from applying to the UK. 7) ""We welcome candidates with expertise in ecological applications of remote sensing/airborne platforms and data-driven innovation in ecology."" 8) Got email clarification about the right to work thing- ""If the successful candidate needed to apply for right to work in the UK, the University of Edinburgh would provide visa sponsorship""",
3/23/2023 3:42,University of Münster,Germany,Biosciences,4/23/2023,https://www.uni-muenster.de/Rektorat/Stellen/ausschreibungen/st_20230222_mb1.html,Asst Prof,Tenure Track,3/24/2023 6:49,"1) Enthusiastic young researcher in the biosciences, whose line of research shows extraordinary promise for the development of an internationally recognized research program at our faculty. (2) Is there a language requirement? (3) is this really a tenure track position or do you lose employment after the 3+3 years as is typical in Germany? (4) what constitutes young?  Isn't this an agist statement? Yes! (5) As someone who was a somewhat non-traditional PhD student, I take great offense to statements of ""young"". I hope I am still considered a currently effective and promising future researcher regardless of my age! From ad: ""Active time in academia will be considered in the evaluation process."" Even if it is not explicitly age-related, I can't stand these types of restrictions. I guess it comes down to eligibility for grants? 5) As someone that didn't get a similar position because I was ""too old"", this is usually related to limits established by ERC grants. A ""young"" researcher is <6-7 years post-PhD. 6) Realize that in Germany and in much of Europe that ageism is ok. I had a grant proposal rejected once because even though they saw the merits and found nothing wrong with the proposal, for my age I didn't have enough papers, but this is something never put in the program description, you only find out after you apply and get the written reviews back.  There is generally an expectation of a linear trajectory in one's career, one starts early, say in the first year of their university studies, and then move quickly on to a Phd, then a postdoc and then a junior prof. It's a system that maximizes performance of young people, who if by the time have not secured a permanent positoin after the junior prof position, often are legally banned from taking up a science position in Germany and have to leave the country. This has been discussed elsewhere, so I won't repeat it. ",,FALSE,"1) Enthusiastic young researcher in the biosciences, whose line of research shows extraordinary promise for the development of an internationally recognized research program at our faculty. (2) Is there a language requirement? (3) is this really a tenure track position or do you lose employment after the 3+3 years as is typical in Germany? (4) what constitutes young?  Isn't this an agist statement? Yes! (5) As someone who was a somewhat non-traditional PhD student, I take great offense to statements of ""young"". I hope I am still considered a currently effective and promising future researcher regardless of my age! From ad: ""Active time in academia will be considered in the evaluation process."" Even if it is not explicitly age-related, I can't stand these types of restrictions. I guess it comes down to eligibility for grants? 5) As someone that didn't get a similar position because I was ""too old"", this is usually related to limits established by ERC grants. A ""young"" researcher is <6-7 years post-PhD. 6) Realize that in Germany and in much of Europe that ageism is ok. I had a grant proposal rejected once because even though they saw the merits and found nothing wrong with the proposal, for my age I didn't have enough papers, but this is something never put in the program description, you only find out after you apply and get the written reviews back.  There is generally an expectation of a linear trajectory in one's career, one starts early, say in the first year of their university studies, and then move quickly on to a Phd, then a postdoc and then a junior prof. It's a system that maximizes performance of young people, who if by the time have not secured a permanent positoin after the junior prof position, often are legally banned from taking up a science position in Germany and have to leave the country. This has been discussed elsewhere, so I won't repeat it. ",
3/22/2023 8:53,University of Southern California,California,Human and Evolutionary Biology,4/1/2023,https://usccareers.usc.edu/job/los-angeles/full-time-teaching-track-faculty-position-in-biological-sciences-human-and-evolutionary-biology/1209/46059181824,Lecturer,Tenure Track,3/22/2023 10:14,"1) From job ad: Applicants must have a PhD or MS degree in Biological Sciences or a related field including anatomy, physiology, kinesiology, nutrition, biomechanics, pathology, neurobiology, evolutionary biology and primatology.  (2) Teaching position",,FALSE,"1) From job ad: Applicants must have a PhD or MS degree in Biological Sciences or a related field including anatomy, physiology, kinesiology, nutrition, biomechanics, pathology, neurobiology, evolutionary biology and primatology.  (2) Teaching position",
3/21/2023 14:11,Max Planck Institute for Biogeochemistry,Germany,Ecosystem Ecology & Biogeochemical Cycles,,https://www.bgc-jena.mpg.de/en/news-nominations-director,Director,Tenure Track,,,,FALSE,,
3/21/2023 10:13,University of Nebraska-Lincoln,Nebraska,Messy Data,3/27/2023,https://employment.unl.edu/postings/84521,Rank Open,Tenure Track,3/27/2023 22:19,"1) amazing job title! messy data is the story of my life, didn't realize it could be a job! 2) Problem is I want someone to help me with my messy data, not to help everyone else with theirs. x2 3) Next posting better be, Wicked Problems.  4) @3... sloppy follow ups... ",,FALSE,"1) amazing job title! messy data is the story of my life, didn't realize it could be a job! 2) Problem is I want someone to help me with my messy data, not to help everyone else with theirs. x2 3) Next posting better be, Wicked Problems.  4) @3... sloppy follow ups... ",
3/21/2023 10:10,Maryville College,Tennessee,Environmental Biology,3/19/2023,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=83030&clientkey=1064DAE0FBE4FE97CBC8BAA9499D8EE7,Instructor,Fixed Term,,,,FALSE,,
3/21/2023 10:08,University of Wisconsin-Stevens Point,Wisconsin,Urban & Community Forestry / Arboriculture,4/9/2023,https://www3.uwsp.edu/hr/jobs/Pages/AcademicJobView.aspx?UWSPJobsCode=19418,Asst Prof,Tenure Track,3/21/2023 10:08,1) two positions,,FALSE,1) two positions,
3/21/2023 10:05,Lake Superior State University,Michigan,Conservation Biology & GIS,5/1/2023,https://jobs.lssu.edu/jobs/assistant-professor-of-conservation-biology-gis-sault-ste-marie-michigan-united-states,Asst Prof,Tenure Track,,,,FALSE,,
3/21/2023 10:03,Michigan Technological University,Michigan,GIS & Remote sensing,2/23/2023,https://www.employment.mtu.edu/en-us/job/493151/assistant-teaching-professor-in-gis-remote-sensing,Asst Teaching Prof,Permanent Non-TT,,,1,FALSE,,1
3/21/2023 9:57,University of Cincinnati Blue Ash College,Ohio,Biology,3/20/2023,https://jobs.uc.edu/job/Cincinnati-Visiting-Assistant-Professor-of-Biology%2C-UC-Blue-Ash-College-OH-45201/993870200/,Visiting Asst Prof,Fixed Term,,,,FALSE,,
3/21/2023 9:54,University of Idaho,Idaho,Soil and Water Systems,3/28/2023,https://uidaho.peopleadmin.com/postings/39713,Dept Head,Tenure Track,,,,FALSE,,
3/21/2023 9:51,University of Vermont,Vermont,Traditional Ecological Knowledge,4/1/2023,https://www.uvmjobs.com/postings/61069,Asst Prof,Tenure Track,,,1,FALSE,,1
3/21/2023 9:46,Christian Brothers University,Tennessee,Plant Biology/Evolution,,https://cbu.interviewexchange.com/jobofferdetails.jsp;jsessionid=391AB0DBA90C52360986EC9E049B8EDE;jsessionid=9C077D0193B9C2355024CC42AC82E85A?JOBID=160204,Asst Prof,Tenure Track,3/21/2023 9:47,1) open until filled. ,,FALSE,1) open until filled. ,
3/21/2023 9:44,University of South Florida,Florida,Anatomy & physiology; animal science,3/31/2023,https://gems.usf.edu:4440/psc/gemspro-tam/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=32587&PostingSeq=1&,Assistant Professor of Instruction,Permanent Non-TT,,,,FALSE,,
3/21/2023 9:41,Arizona State University,Arizona,Environmental Chemistry,2/3/2023,https://apply.interfolio.com/118325,Assistant Teaching Professor,Permanent Non-TT,3/21/2023 9:42,"1) review on a rolling basis, was re-posted on ECOLOG on 3/21, so I assume they are still looking for applicants ",,FALSE,"1) review on a rolling basis, was re-posted on ECOLOG on 3/21, so I assume they are still looking for applicants ",
3/21/2023 2:56,Wageningen University & Research,Netherlands,Freshwater Ecology,4/10/2023,https://www.wur.nl/en/vacancy/tenure-track-assistant-or-associate-professor-freshwater-ecology-aew.htm,Asst / Assoc Prof,Tenure Track,3/31/2023 5:00,"1) Unclear what statements beyond a CV and cover letter are needed to apply. Any ideas? 2) Aparently, they have a ""first round"" of selections just based on your CV and cover letter. If they think you're suitable for the position, they will ask for more. ",,FALSE,"1) Unclear what statements beyond a CV and cover letter are needed to apply. Any ideas? 2) Aparently, they have a ""first round"" of selections just based on your CV and cover letter. If they think you're suitable for the position, they will ask for more. ",
3/21/2023 0:28,Lingnan University Hong Kong,Hong Kong,"Environmental Science, Biology",3/31/2023,https://lingnan.csod.com/ux/ats/careersite/4/home/requisition/1865?c=lingnan,Asst Prof,Tenure Track,3/21/2023 0:29,"build on the existing strengthens (Conservation Biology, Aquatic and Terrestrial Ecology), as while diversifying research and teaching foci, taxonomic coverage, and research techniques of the unit",,FALSE,"build on the existing strengthens (Conservation Biology, Aquatic and Terrestrial Ecology), as while diversifying research and teaching foci, taxonomic coverage, and research techniques of the unit",
3/20/2023 12:49,University of Illinois at Chicago,Illinois,Cellular Biology,4/14/2023,https://uic.csod.com/ux/ats/careersite/1/home/requisition/3333?c=uic,Clinical Asst Prof,Permanent Non-TT,3/20/2023 12:51,"Faculty position coordinating Cell Biology Teaching lab. The successful candidate will be expected to coordinate BIOS 312 (Cell Biology Laboratory) in both Fall and Spring semesters. This includes overseeing approximately 12 sections of the course each semester. Duties include developing the laboratory curriculum, creating course syllabi and teaching materials, training and supervising graduate teaching assistants (TAs), and ordering supplies. The candidate would also teach an additional course each semester.",,FALSE,"Faculty position coordinating Cell Biology Teaching lab. The successful candidate will be expected to coordinate BIOS 312 (Cell Biology Laboratory) in both Fall and Spring semesters. This includes overseeing approximately 12 sections of the course each semester. Duties include developing the laboratory curriculum, creating course syllabi and teaching materials, training and supervising graduate teaching assistants (TAs), and ordering supplies. The candidate would also teach an additional course each semester.",
3/20/2023 12:25,University of Hawai‘i at Manoa (UHM),Hawaii,Climate Change,3/31/2023,https://www.schooljobs.com/careers/hawaiiedu/jobs/3932823/assistant-extension-specialist-85379t?keywords=85379T&pagetype=jobOpportunitiesJobs,Asst Extension Specialist,Permanent Non-TT,3/22/2023 13:45,the description of this position says temporary,,FALSE,the description of this position says temporary,
3/20/2023 6:03,New Mexico State University,New Mexico,Soil Microbiology & Soil Health,4/15/2023,https://jobs.nmsu.edu/postings/49880,Asst Prof,Tenure Track,4/1/2023 5:40,"Anyone wants to share some experience about working in this department or this university? 1) I work at NMSU but in a different college but collaborate closely with folks in this department. It's a good department and it's a good college. NMSU has overall low salary even though NM is a cheap state and that's my biggest complaint; other than that I would recommend this place. Not sure what the salary is for this position, but I know that assistant professors on a 12 month appointment are making around 85k which is much higher compared to what assistant professors on a 9 month appointment in other colleges are making. 2) Thanks for the update @1), but if it's 12-month appointment, does it mean the faculty will not get addtional summer funding support, compared to those in a 9-month appointment? In other words, the 12-month will have less motivation to get funding than those with 9-month term? 3) I think they can't get additional summer funding; can't speak about motivaition though  ",,FALSE,"Anyone wants to share some experience about working in this department or this university? 1) I work at NMSU but in a different college but collaborate closely with folks in this department. It's a good department and it's a good college. NMSU has overall low salary even though NM is a cheap state and that's my biggest complaint; other than that I would recommend this place. Not sure what the salary is for this position, but I know that assistant professors on a 12 month appointment are making around 85k which is much higher compared to what assistant professors on a 9 month appointment in other colleges are making. 2) Thanks for the update @1), but if it's 12-month appointment, does it mean the faculty will not get addtional summer funding support, compared to those in a 9-month appointment? In other words, the 12-month will have less motivation to get funding than those with 9-month term? 3) I think they can't get additional summer funding; can't speak about motivaition though  ",
3/18/2023 12:58,Chicago State University,Illinois,Ecology or Environmental Biology,4/21/2023,https://chicagostate.peopleadmin.com/postings/14237,Asst Prof,Tenure Track,3/31/2023 6:59,"Starting salary for 9 mo appt ~80K, CSU is part of CROCUS https://www.anl.gov/crocus, and has parterships with Field Museum, Argonne, and other local institutions. They will start reviewing applications next week and start zoom interviews for the first round of candidates the week of April 17.",1,FALSE,"Starting salary for 9 mo appt ~80K, CSU is part of CROCUS https://www.anl.gov/crocus, and has parterships with Field Museum, Argonne, and other local institutions. They will start reviewing applications next week and start zoom interviews for the first round of candidates the week of April 17.",1
3/18/2023 12:46,Michigan State University,Michigan,Biology (broadly),3/20/2023,https://careers.msu.edu/en-us/job/513994/instast-prof-fixed-term,Instructor / Asst Prof,Permanent Non-TT,3/20/2023 14:05,"The actual ad says fixed-term but the appointment cell in this row says permanent?  2) ""The initial appointment will be for one year (9 months) with expectation of continuing renewal based on satisfactory performance."" 3) Member of the unit; contracts start as 1 year / time, but after 4 years, people can apply for a designation that turns it into a 5 year rolling contract. Some senior people have been in these roles for decades. You can still submit after the listed deadline, though we will be reviewing applications this week.",1,FALSE,"The actual ad says fixed-term but the appointment cell in this row says permanent?  2) ""The initial appointment will be for one year (9 months) with expectation of continuing renewal based on satisfactory performance."" 3) Member of the unit; contracts start as 1 year / time, but after 4 years, people can apply for a designation that turns it into a 5 year rolling contract. Some senior people have been in these roles for decades. You can still submit after the listed deadline, though we will be reviewing applications this week.",1
3/18/2023 12:45,Michigan State University,Michigan,Ecology & Evolution,3/20/2023,https://careers.pageuppeople.com/782/cw/en-us/job/513991/instast-prof-fixed-term,Instructor / Asst Prof,Permanent Non-TT,3/19/2023 10:10,[see discussion above -AP],1,FALSE,[see discussion above -AP],1
