Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,Number Applied,Mod Flag,Notes Backup,Number Applied
10/4/2022 13:22,University of Toronto Mississauga,Canada,Systematics Biology of Invertebrates,12/12/2022,https://jobs.utoronto.ca/job/Mississauga-Assistant-Professor-Systematics-Biology-ON/563872217/,Asst Prof,Tenure Track,,,,FALSE,,
10/4/2022 11:56,North Carolina State University,North Carolina,Applied Ecology,,https://jobs.ncsu.edu/postings/171715,Department Head,Tenure Track,10/5/2022 9:14,"must be a tenured professor to apply; 2) position is tenured, not tenure-track",,FALSE,"must be a tenured professor to apply; 2) position is tenured, not tenure-track",
10/4/2022 11:44,Arizona State University,Arizona,Fundamental and Applied Microbiomics,11/15/2022,http://apply.interfolio.com/114737,Rank Open,Tenure Track,10/4/2022 11:45,"""in collaboration with the Center for Fundamental and Applied Microbiomics (CFAM) in the Biodesign Institute""",,FALSE,"""in collaboration with the Center for Fundamental and Applied Microbiomics (CFAM) in the Biodesign Institute""",
10/4/2022 10:43,Texas A&M University–Kingsville,Texas,Biology,11/15/2022,https://wfscjobs.tamu.edu/jobs/assistant-professor-biological-scientist-kingsville-tx/,Asst Prof,Tenure Track,10/4/2022 10:44,"Applicants should have a background in conservation biology with an emphasis in ichthyology, parasitology, aquatic biology, marine biology, or a related field.",,FALSE,"Applicants should have a background in conservation biology with an emphasis in ichthyology, parasitology, aquatic biology, marine biology, or a related field.",
10/4/2022 9:34,Virginia Tech,Virginia,Forest Health,11/10/2022,https://careers.pageuppeople.com/968/cw/en-us/job/522184/assistant-professor-of-forest-health,Asst Prof,Tenure Track,,,,FALSE,,
10/4/2022 8:25,University of Massachusetts Amherst,Massachusetts,Genetics / Genomics,10/31/2022,https://careers.umass.edu/amherst/en-us/job/515997/assistant-professor-biology-geneticsgenomics,Asst Prof,Tenure Track,10/4/2022 8:27,"""Any area of Eukaryotic Genetics/Genomics""",1,FALSE,"""Any area of Eukaryotic Genetics/Genomics""",1
10/3/2022 19:28,University of Wisconsin-Milwaukee,Wisconsin,Cell Biology / Molecular Biology  (Plant or Animal),11/1/2022,https://jobs.uwm.edu/postings/35464,Asst / Assoc Prof,Tenure Track,10/3/2022 19:31,"Our Dept encourages applicants interested in host-pathogen interactions, immunology, neurobiology, cell biology, or developmental biology. Candidates studying plant or animal systems are welcome to apply. ",,FALSE,"Our Dept encourages applicants interested in host-pathogen interactions, immunology, neurobiology, cell biology, or developmental biology. Candidates studying plant or animal systems are welcome to apply. ",
10/3/2022 15:54,"University of California, Santa Cruz",California,Trophic Ecology,11/30/2022,https://recruit.ucsc.edu/JPF01397,Asst / Assoc Prof,Tenure Track,10/5/2022 15:46,"In Department of Ocean Sciences. ""We encourage applications from scientists working in... marine ecology and food webs at intermediate trophic levels... preferred areas of interest include trophic ecology of organisms from planktonic (protist) to mid-level (e.g., forage fish) predators, including the distribution, population dynamics, and adaptive capacity of organisms and ecosystems to provide mechanistic insights for how the oceanic biosphere changes in response to, for example, deoxygenation, acidification, marine heatwaves, and human exploitation."" 1) This is a remarkably onerous application, including an outreach statement, which I've never heard of, and required formats to research and teaching statements. Lame. 2) agree with 1. Has the hiring committee forgotten what it's like to apply for jobs? I suppose this is a great way to weed people out, including those that are qualified. 3) those ""who"" are qualified 4) letters up front too 5) statement of ""community engagement"". What is meant by community? Research community, university community, local geographic community? The post is crystal clear on what is expected for everything except the novel component. 6.) Letters up front is ridiculous in this day and age 7) they don't want to sort through hundreds of applicants who aren't seriously considering taking the job",,FALSE,"In Department of Ocean Sciences. ""We encourage applications from scientists working in... marine ecology and food webs at intermediate trophic levels... preferred areas of interest include trophic ecology of organisms from planktonic (protist) to mid-level (e.g., forage fish) predators, including the distribution, population dynamics, and adaptive capacity of organisms and ecosystems to provide mechanistic insights for how the oceanic biosphere changes in response to, for example, deoxygenation, acidification, marine heatwaves, and human exploitation."" 1) This is a remarkably onerous application, including an outreach statement, which I've never heard of, and required formats to research and teaching statements. Lame. 2) agree with 1. Has the hiring committee forgotten what it's like to apply for jobs? I suppose this is a great way to weed people out, including those that are qualified. 3) those ""who"" are qualified 4) letters up front too 5) statement of ""community engagement"". What is meant by community? Research community, university community, local geographic community? The post is crystal clear on what is expected for everything except the novel component. 6.) Letters up front is ridiculous in this day and age 7) they don't want to sort through hundreds of applicants who aren't seriously considering taking the job",
10/3/2022 15:53,"University of California, Santa Cruz",California,#NAME?,11/30/2022,https://recruit.ucsc.edu/JPF01397,Asst / Assoc Prof,Tenure Track,10/3/2022 15:55,"In Department of Ocean Sciences. ""We encourage applications from scientists working in the subdiscipline of biological oceanography with an emphasis on ocean microbiomes (first position)...preferred areas of interest include leading-edge research in the broad field of ‘omics (genomic, transcriptomic, metabolomic, proteomic) to understand fundamental and/or applied biological or biogeochemical processes in marine systems.""",,FALSE,"In Department of Ocean Sciences. ""We encourage applications from scientists working in the subdiscipline of biological oceanography with an emphasis on ocean microbiomes (first position)...preferred areas of interest include leading-edge research in the broad field of ‘omics (genomic, transcriptomic, metabolomic, proteomic) to understand fundamental and/or applied biological or biogeochemical processes in marine systems.""",
10/3/2022 14:15,University of Nebraska-Lincoln,Nebraska,"Genetics, Statistics, Crop Science",11/7/2022,https://employment.unl.edu,Rank Open,Tenure Track,,,,FALSE,,
10/3/2022 11:56,Kent State University,Ohio,Conservation Paleobiology,11/1/2022,https://www.kent.edu/earth-sciences/news/tenure-track-faculty-position-conservation-paleobiology,Asst Prof,Tenure Track,10/3/2022 11:57,"""The successful candidate will integrate paleontological field and laboratory investigations to the conservation of present-day biodiversity and ecosystem services. Areas of research focus may include, but are not limited to, paleoecology, biostratigraphy, micropaleontology, evolution/extinction, and applications of paleobiology in deciphering climate, environmental, and/or ecosystem changes at various time scales."" ",,FALSE,"""The successful candidate will integrate paleontological field and laboratory investigations to the conservation of present-day biodiversity and ecosystem services. Areas of research focus may include, but are not limited to, paleoecology, biostratigraphy, micropaleontology, evolution/extinction, and applications of paleobiology in deciphering climate, environmental, and/or ecosystem changes at various time scales."" ",
10/3/2022 7:33,USGS,Missouri,Fish Physiology,10/17/2022,https://www.usajobs.gov/job/680624800,GS-12,Permanent Non-Academic,10/4/2022 6:37,Permanent federal research position (promotion up to GS-15); closes 10/17 or day 75th application is received. 2) gotta love these govt positions that are only open 2 weeks and can close suddenly without warning,1,FALSE,Permanent federal research position (promotion up to GS-15); closes 10/17 or day 75th application is received. 2) gotta love these govt positions that are only open 2 weeks and can close suddenly without warning,1
10/3/2022 6:25,Oxford College of Emory University,Georgia,Neuroscience & Behavioral Biology,10/31/2022,https://apply.interfolio.com/114890,Asst Prof,Tenure Track,,,,FALSE,,
10/2/2022 17:51,Longwood University ,Virginia,Environmental Science,10/10/2022,https://longwood.interviewexchange.com/jobofferdetails.jsp?JOBID=153621,Lecturer,Fixed Term,10/2/2022 17:52,Review begins immediately. ,,FALSE,Review begins immediately. ,
10/2/2022 17:38,University of North Carolina Wilmington,North Carolina,Integrative Organismal Biologist,10/31/2022,https://jobs.uncw.edu/postings/26183?fbclid=IwAR1O5s1Y69P8kdVtVBqujes2R1bvVuP_lHGEh8L3B-FpZBNNYpOrSrvzYiM,Asst Prof,Tenure Track,10/5/2022 6:36,"""Desired areas of expertise within the broad umbrella of Organismal Biology include, but are not limited to, Marine Mammals or other Marine Megafauna, Conservation Biology, Movement Ecology, Anatomy and Physiology, and Evolutionary Biology."" 2) failed search from last year? 3) the ad seems to imply that they're looking for animal biologists; is that right? 3) @2 this sounds like the ""Marine Mammalogy"" search from last year. 4) @3 doubt it. That was very specifically to replace a big name in MM science. This feels more broad. 5) Great department, nice campus and facilities, very reasonable teaching load, great location. 6) I'm pretty sure last year's search failed, this is a broadening (not that many marine mammal folks out there... not much funding and expensive work!)",,FALSE,"""Desired areas of expertise within the broad umbrella of Organismal Biology include, but are not limited to, Marine Mammals or other Marine Megafauna, Conservation Biology, Movement Ecology, Anatomy and Physiology, and Evolutionary Biology."" 2) failed search from last year? 3) the ad seems to imply that they're looking for animal biologists; is that right? 3) @2 this sounds like the ""Marine Mammalogy"" search from last year. 4) @3 doubt it. That was very specifically to replace a big name in MM science. This feels more broad. 5) Great department, nice campus and facilities, very reasonable teaching load, great location. 6) I'm pretty sure last year's search failed, this is a broadening (not that many marine mammal folks out there... not much funding and expensive work!)",
10/2/2022 11:56,Coe College,Iowa,Vertebrate Biology,11/15/2022,https://apply.interfolio.com/114720,Asst Prof,Tenure Track,10/2/2022 12:03,"Teaching load is 2 lectures, 2 labs per semester.",,FALSE,"Teaching load is 2 lectures, 2 labs per semester.",
10/2/2022 2:20,Massachusetts Institute of Technology (MIT),Massachusetts,Climate and Environment,,https://faculty-searches.mit.edu/cee/,Asst Prof,Tenure Track,10/4/2022 17:58,"Dept. of Civil and Environmental Engineering (CEE); ... (iii) Climate and Environment, including, coastal systems, earth systems science, physics and chemistry of the atmosphere, and environmental life sciences (ecology & evolution, systems & synthetic biology for environment). 1) Not sure they would be looking for a strict ecologist/evolutionary biologist based on faculty in department. Seems like you would need some sort of major engineering component to research program. 2) Not accurate, there are ecologists in CEE with no engineering background at all. 3) Agreed, I'm in CEE and there are definitely ecologists here. However the committee is usually very broad and includes people from the civil side as well-- make sure you make your materials accessible and make a strong case for impact!  2) Here again. I fully agree with 3), and btw, I am also an ecologist in CEE :) @2, 3 again, small world! Let's find each other in the happy hour this Friday! :)",,FALSE,"Dept. of Civil and Environmental Engineering (CEE); ... (iii) Climate and Environment, including, coastal systems, earth systems science, physics and chemistry of the atmosphere, and environmental life sciences (ecology & evolution, systems & synthetic biology for environment). 1) Not sure they would be looking for a strict ecologist/evolutionary biologist based on faculty in department. Seems like you would need some sort of major engineering component to research program. 2) Not accurate, there are ecologists in CEE with no engineering background at all. 3) Agreed, I'm in CEE and there are definitely ecologists here. However the committee is usually very broad and includes people from the civil side as well-- make sure you make your materials accessible and make a strong case for impact!  2) Here again. I fully agree with 3), and btw, I am also an ecologist in CEE :) @2, 3 again, small world! Let's find each other in the happy hour this Friday! :)",
10/1/2022 12:32,University of Konstanz,Germany,Evolution of Behavior,11/30/2022,https://www.nature.com/naturecareers/job/full-professorship-w3-for-zoology-evolution-reference-no-2022251-university-of-konstanz-764678,Full Prof (W3),Tenure Track,10/5/2022 6:28,Konstanz is an amazing place to live/work. 2) Is there an internal candidate in mind? It reads like there might be. 3) (Junior) department member here - no internal candidate that I know of.,,FALSE,Konstanz is an amazing place to live/work. 2) Is there an internal candidate in mind? It reads like there might be. 3) (Junior) department member here - no internal candidate that I know of.,
10/1/2022 12:17,Ball State University,Indiana,Physiology,10/9/2022,https://bsu.peopleadmin.com/postings/33210,Asst Lecturer / Asst Teaching Prof,Permanent Non-TT,10/1/2022 12:18,"""Primary responsibilities include teaching Introductory Biology, Anatomy, and Physiology courses.""",,FALSE,"""Primary responsibilities include teaching Introductory Biology, Anatomy, and Physiology courses.""",
10/1/2022 12:12,Ball State University,Indiana,Botany,10/10/2022,https://bsu.peopleadmin.com/postings/33238,Asst Prof,Tenure Track,10/4/2022 4:28,"""The successful candidate will be able to teach students from diverse backgrounds in introductory botany, plant taxonomy, aquatic botany, and have an active role in managing the BSU herbarium."" (1) Repeat search? Did the last search fail? yes",1,FALSE,"""The successful candidate will be able to teach students from diverse backgrounds in introductory botany, plant taxonomy, aquatic botany, and have an active role in managing the BSU herbarium."" (1) Repeat search? Did the last search fail? yes",1
10/1/2022 10:46,Michigan State University,Michigan,Quantitative Ecology or Evolution,11/15/2022,https://integrativebiology.natsci.msu.edu/eeb_qbjob/index.aspx,Asst Prof,Tenure Track,10/5/2022 15:18,"""statistical methods development, novel applications of cutting edge quantitative methods, or other advanced modeling of natural systems""  [Lengthy discussion of the definition of ""quantitative ecology"" moved to General Discussion. Also note: no separate DEI statement, but include DEI efforts in research & teaching statements as appropriate (not popular). -AP]  2) Thanks AP. ",,FALSE,"""statistical methods development, novel applications of cutting edge quantitative methods, or other advanced modeling of natural systems""  [Lengthy discussion of the definition of ""quantitative ecology"" moved to General Discussion. Also note: no separate DEI statement, but include DEI efforts in research & teaching statements as appropriate (not popular). -AP]  2) Thanks AP. ",
9/30/2022 17:08,San Diego State University,California,Urban Evolutionary Biology,11/1/2022,https://apply.interfolio.com/114434,Asst Prof,Tenure Track,10/4/2022 14:48,"R2 (well en route to R1), with an active Department comprising ~50 faculty, 10 of whom are new PI's, 3 received NSF CAREER awards in 2021-2022, 2 NIH R35's, and several R01's and USDA NIFA awards. HSI & AANAPISI University, catering to some very diverse students in the San Diego-Tijuana urban agglomeration. Large Joint Doctoral Programs in Evolutionary Biology (with UC Riverside), Ecology (with UC Davis), and Cellular, Molecular Biology (with UC San Diego) = large extended network of collaborators and mentors. 2) Impressive, but didn't grad students just lose health coverage last month? 3) poorly-executed plan by admins to raise stipends; in the end, health insurance remained, stipends increased, and MS students given tuition remission.",,FALSE,"R2 (well en route to R1), with an active Department comprising ~50 faculty, 10 of whom are new PI's, 3 received NSF CAREER awards in 2021-2022, 2 NIH R35's, and several R01's and USDA NIFA awards. HSI & AANAPISI University, catering to some very diverse students in the San Diego-Tijuana urban agglomeration. Large Joint Doctoral Programs in Evolutionary Biology (with UC Riverside), Ecology (with UC Davis), and Cellular, Molecular Biology (with UC San Diego) = large extended network of collaborators and mentors. 2) Impressive, but didn't grad students just lose health coverage last month? 3) poorly-executed plan by admins to raise stipends; in the end, health insurance remained, stipends increased, and MS students given tuition remission.",
9/30/2022 13:12,Utah Valley University,Utah,Plant breeding / horticulture / plant biotech,11/15/2022,https://www.uvu.jobs/postings/30747,Rank Open,Tenure Track,10/1/2022 4:22,"PUI with an active undergrad research emphasis, growing department (~2000 bio students), good work-life balance minutes from hiking and skiing. Teaching focused institution, but plentiful internal grants and support for research, professional grant writer on retainer, very low-drama department, bioinformatics experience helpful to help support new bioinfo degree",,FALSE,"PUI with an active undergrad research emphasis, growing department (~2000 bio students), good work-life balance minutes from hiking and skiing. Teaching focused institution, but plentiful internal grants and support for research, professional grant writer on retainer, very low-drama department, bioinformatics experience helpful to help support new bioinfo degree",
9/30/2022 8:15,University of Pittsburgh,Pennsylvania,Computational Biology,10/14/2022,https://cfopitt.taleo.net/careersection/pitt_faculty_external/jobdetail.ftl?job=22007192,Rank Open,Permanent Non-TT,10/2/2022 6:58,"""Teaching professor in Computational Biology... Courses could include Computational Biology and Computational Biology Seminar (a literature review course) for Computational Biology majors. Additional courses will be based on the expertise of the instructor and could include lecture or lab courses.""",,FALSE,"""Teaching professor in Computational Biology... Courses could include Computational Biology and Computational Biology Seminar (a literature review course) for Computational Biology majors. Additional courses will be based on the expertise of the instructor and could include lecture or lab courses.""",
9/30/2022 6:21,Sweet Briar College,Virginia,Animal Physiology or Entomology,11/1/2022,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=86635&clientkey=0DB1CFB7BAA1AF7EF9E6616BC163C95A,Asst / Assoc Prof,Tenure Track,10/3/2022 17:40,"Looking for someone who can teach animal physiology, microbiology, entomology, OR developmental biology plus share intro course responsibilities. College is rebuilding our research culture, but we are a small, teaching intensive PUI. Strong history of collaborations across disciplines. Beautiful campus with over 2000+ acres perfect outdoor laboratory! 2) Is Sweet Briar no longer planning to close? Is this off the table? 3) Yeah what does ""rebuilding"" mean? 4) It probably means its finances have withstood much closer scrutiny than most other small colleges. 5) i think the rebuilding was just in reference to faculty research- probably no one did any and now they want faculty to start doing some 6) When Sweet Briar almost closed before there were a bunch of stories about research animals needing to be re-housed and equipment moving, etc. It was saved from closing at the very last minute. So I assume this means 'rebuilding' to the research culture that existed before the near closing. 7) I see that there are some male faculty already there, but should men apply to this? (Are those just spousal hires?)",,FALSE,"Looking for someone who can teach animal physiology, microbiology, entomology, OR developmental biology plus share intro course responsibilities. College is rebuilding our research culture, but we are a small, teaching intensive PUI. Strong history of collaborations across disciplines. Beautiful campus with over 2000+ acres perfect outdoor laboratory! 2) Is Sweet Briar no longer planning to close? Is this off the table? 3) Yeah what does ""rebuilding"" mean? 4) It probably means its finances have withstood much closer scrutiny than most other small colleges. 5) i think the rebuilding was just in reference to faculty research- probably no one did any and now they want faculty to start doing some 6) When Sweet Briar almost closed before there were a bunch of stories about research animals needing to be re-housed and equipment moving, etc. It was saved from closing at the very last minute. So I assume this means 'rebuilding' to the research culture that existed before the near closing. 7) I see that there are some male faculty already there, but should men apply to this? (Are those just spousal hires?)",
9/30/2022 2:20,Duke University,North Carolina,Evolutionary Anthropology,11/1/2022,https://academicjobsonline.org/ajo/jobs/23046,Asst Prof,Tenure Track,9/30/2022 6:01,"SC member here: broad department with people working on humans, other primates, dogs, cheetahs, etc. Dont let ""anthro"" deter you! Broad interest in ecology, evolution, genetics, behavior, anatomy...",,FALSE,"SC member here: broad department with people working on humans, other primates, dogs, cheetahs, etc. Dont let ""anthro"" deter you! Broad interest in ecology, evolution, genetics, behavior, anatomy...",
9/30/2022 0:14,University of Connecticut,Connecticut,Integrative Organismal Biology of Invertebrates,11/1/2022,https://academicjobsonline.org/ajo/jobs/23043,Asst Prof,Tenure Track,10/4/2022 17:09,"Examples of possible areas: biodiversity discovery at genomic & organismal levels; evolutionary processes shaping diversity within & across lineages; organismal morphology, function, physiology, & behavior in a comparative context; & species interactions, including parasitism. SC member here: If you have any questions, please let me know! I will monitor the ""Notes"". 2.) Just want to say thank you for including this level of detail in the ad! Nice to know what you are actually looking for :) 3) Any interest in candidates who study marine inverts or is the focus terrestrial? Thanks! 4) SC member: all inverts are welcome! :-)",2,FALSE,"Examples of possible areas: biodiversity discovery at genomic & organismal levels; evolutionary processes shaping diversity within & across lineages; organismal morphology, function, physiology, & behavior in a comparative context; & species interactions, including parasitism. SC member here: If you have any questions, please let me know! I will monitor the ""Notes"". 2.) Just want to say thank you for including this level of detail in the ad! Nice to know what you are actually looking for :) 3) Any interest in candidates who study marine inverts or is the focus terrestrial? Thanks! 4) SC member: all inverts are welcome! :-)",2
9/29/2022 13:11,University of Connecticut,Connecticut,Population Genetics or Genomics,10/15/2022,https://academicjobsonline.org/ajo/jobs/23025,Asst Prof,Tenure Track,,,1,FALSE,,
9/29/2022 12:26,University of Tennessee - Knoxville,Tennessee,Mathematical Biology,10/21/2022,https://apply.interfolio.com/111963,Asst Prof,Tenure Track,10/2/2022 9:46,"In the math dept; says PhD in math, applied math, or stats required? 2) Yeah, I wonder if they'd accept a theoretical biologist with a PhD in biology. They do have some joint apointments with folks in EEB. 3) Maybe, math departments can sometimes be strict on the exact PhD degree 4) I think UT is more open minded than most math departments in terms of what backgrounds and research are acceptable, but make sure you can get a letter addressing your teaching qualifications as that is expected for almost every job at a math department. Math postdocs teach more often than in other fields and most math departments have a system to make sure someone observes the postdocs teaching to facilitate letter writing 5) Not sure many of us theoreticians had a teaching postdoc, so I'm guessing its not worth applying...(?) x2 6) @5 you could contact the chair and ask, or just apply and see what happens.",,FALSE,"In the math dept; says PhD in math, applied math, or stats required? 2) Yeah, I wonder if they'd accept a theoretical biologist with a PhD in biology. They do have some joint apointments with folks in EEB. 3) Maybe, math departments can sometimes be strict on the exact PhD degree 4) I think UT is more open minded than most math departments in terms of what backgrounds and research are acceptable, but make sure you can get a letter addressing your teaching qualifications as that is expected for almost every job at a math department. Math postdocs teach more often than in other fields and most math departments have a system to make sure someone observes the postdocs teaching to facilitate letter writing 5) Not sure many of us theoreticians had a teaching postdoc, so I'm guessing its not worth applying...(?) x2 6) @5 you could contact the chair and ask, or just apply and see what happens.",
9/29/2022 11:04,University of Idaho,Idaho,Fire Ecology & Management,10/24/2022,https://uidaho.peopleadmin.com/postings/37843,Asst Prof,Tenure Track,10/3/2022 13:50,"Open until filled. 2) I'd only consider appling once they start covering birthcontrol again. 3) This is a re-run of a failed search earlier this year 4) Hi, I am a student rep on the search committee. happy to answer any questions or chat. 5) @2: University of Idaho health insurance doesn't cover birth control?! 6) the ad says the starting pay rate is $65,000 -- can anyone comment on whether that is likely to be the pay rate? I make more than that as a postdoc...7) https://www.chronicle.com/article/its-making-us-accomplices-a-university-tells-faculty-to-remain-neutral-on-abortion-in-class?cid2=gen_login_refresh&cid=gen_sign_in 8) Why they only ask for cover letter and resume? Is that normal?",,FALSE,"Open until filled. 2) I'd only consider appling once they start covering birthcontrol again. 3) This is a re-run of a failed search earlier this year 4) Hi, I am a student rep on the search committee. happy to answer any questions or chat. 5) @2: University of Idaho health insurance doesn't cover birth control?! 6) the ad says the starting pay rate is $65,000 -- can anyone comment on whether that is likely to be the pay rate? I make more than that as a postdoc...7) https://www.chronicle.com/article/its-making-us-accomplices-a-university-tells-faculty-to-remain-neutral-on-abortion-in-class?cid2=gen_login_refresh&cid=gen_sign_in 8) Why they only ask for cover letter and resume? Is that normal?",
9/29/2022 10:12,Ohio Wesleyan University,Ohio,Microbiology (Broad),10/17/2022,https://www.owu.edu/about/offices-services-directory/human-resources/career-information/faculty-positions-for-2023/,Asst Prof,Tenure Track,10/1/2022 4:03,"Website says review begins Sept. 19; ""This job is part of a cluster of positions with which Ohio Wesleyan seeks to further diversify its curriculum and faculty."" -- including position in Neuroscience",,FALSE,"Website says review begins Sept. 19; ""This job is part of a cluster of positions with which Ohio Wesleyan seeks to further diversify its curriculum and faculty."" -- including position in Neuroscience",
9/29/2022 8:36,Emory University,Georgia,Applied Socio-Environmental Sciences,10/28/2022,https://apply.interfolio.com/114288,Asst / Assoc Prof,Tenure Track,,,,FALSE,,
9/29/2022 8:34,Southwestern University,Texas,Geographic Information Science (GIS),10/15/2022,https://apply.interfolio.com/110467,Asst Prof,Tenure Track,9/29/2022 8:57,"Have heard very positive things about this department in terms of salary, scholarly support, and teaching load relative to other PUIs",,FALSE,"Have heard very positive things about this department in terms of salary, scholarly support, and teaching load relative to other PUIs",
